ID,genres,,,,,,,,,,
334,romance, thriller,,,,,,,,,
335,thriller, drama,,,,,,,,,
336,romance, comedy, music,,,,,,,,
337,comedy, romance, music, european,,,,,,,
338,comedy, romance,,,,,,,,,
339,western, action, music,,,,,,,,
340,drama, war,,,,,,,,,
341,western, music, romance,,,,,,,,
342,comedy, sport, action, romance,,,,,,,
343,war, romance, thriller, drama,,,,,,,
344,comedy, romance,,,,,,,,,
345,music, family, drama,,,,,,,,
346,thriller,,,,,,,,,,
347,comedy, drama, sport,,,,,,,,
348,romance, drama,,,,,,,,,
349,drama, crime,,,,,,,,,
350,music,,,,,,,,,,
351,romance, comedy,,,,,,,,,
352,comedy, war, romance,,,,,,,,
353,romance, comedy,,,,,,,,,
354,western, romance, action,,,,,,,,
355,comedy, music, sport,,,,,,,,
356,western, music, action,,,,,,,,
357,western, action, drama, music,,,,,,,
358,drama,,,,,,,,,,
359,romance, western, action,,,,,,,,
360,western,,,,,,,,,,
361,thriller, action, crime, drama,,,,,,,
362,music,,,,,,,,,,
363,western, romance, action, comedy, music,,,,,,
364,western, drama,,,,,,,,,
365,western, action, comedy, romance,,,,,,,
366,comedy, music, romance,,,,,,,,
367,action, romance, thriller, war,,,,,,,
368,action, family,,,,,,,,,
369,western, action, comedy, romance,,,,,,,
370,western, music, action,,,,,,,,
371,comedy, sport, romance,,,,,,,,
372,thriller, romance,,,,,,,,,
373,documentation, war,,,,,,,,,
374,thriller, war,,,,,,,,,
375,western, action,,,,,,,,,
376,comedy, music, romance,,,,,,,,
377,western, action, crime, music,,,,,,,
378,western,,,,,,,,,,
379,drama, romance, comedy,,,,,,,,
380,,,,,,,,,,,
381,thriller,,,,,,,,,,
382,drama, action, comedy,,,,,,,,
383,,,,,,,,,,,
384,western, romance,,,,,,,,,
385,thriller, drama, crime,,,,,,,,
386,romance, drama,,,,,,,,,
387,romance, comedy,,,,,,,,,
388,drama, comedy,,,,,,,,,
389,western, drama,,,,,,,,,
390,drama, romance,,,,,,,,,
391,thriller, action, crime, romance, comedy,,,,,,
392,romance, comedy, music,,,,,,,,
393,western, drama, action,,,,,,,,
394,war, documentation, history,,,,,,,,
395,drama, romance,,,,,,,,,
396,western, action, music, comedy,,,,,,,
397,western, romance, comedy,,,,,,,,
398,drama, western, romance,,,,,,,,
399,drama,,,,,,,,,,
400,crime, drama,,,,,,,,,
401,western,,,,,,,,,,
402,western, action,,,,,,,,,
403,drama,,,,,,,,,,
404,drama, romance, war,,,,,,,,
405,western,,,,,,,,,,
406,drama, crime,,,,,,,,,
407,romance, thriller,,,,,,,,,
408,action,,,,,,,,,,
409,western,,,,,,,,,,
