ID,genres
425,action
425,music
425,romance
425,comedy
426,comedy
427,drama
427,war
427,thriller
428,crime
428,comedy
428,romance
429,crime
429,drama
429,romance
429,war
430,history
430,war
430,documentation
431,comedy
431,romance
431,war
432,comedy
432,romance
433,drama
433,action
433,war
434,drama
434,crime
435,crime
435,thriller
435,drama
435,action
436,western
436,drama
437,action
437,drama
437,western
437,crime
437,romance
437,sport
438,comedy
438,drama
438,sport
439,drama
439,crime
439,romance
439,thriller
440,western
440,action
440,music
441,drama
441,romance
441,sport
441,crime
442,western
442,drama
442,romance
442,action
443,comedy
443,romance
444,western
445,romance
445,drama
446,action
447,drama
448,comedy
448,crime
448,family
449,thriller
449,romance
450,action
450,drama
450,romance
450,thriller
450,war
451,drama
451,comedy
452,crime
452,comedy
452,drama
453,thriller
454,drama
454,action
455,drama
455,romance
455,crime
456,crime
456,drama
456,romance
457,western
457,comedy
458,western
459,western
459,music
459,action
460,comedy
460,drama
461,drama
461,comedy
461,romance
462,romance
462,crime
462,comedy
463,comedy
464,comedy
464,drama
464,western
464,action
464,romance
465,drama
465,comedy
466,drama
466,romance
467,thriller
467,action
467,crime
467,family
468,crime
468,drama
468,romance
468,action
469,action
470,romance
470,drama
471,comedy
471,music
471,romance
472,crime
473,romance
473,drama
474,drama
474,romance
475,comedy
475,western
475,action
475,drama
475,music
476,crime
476,family
476,action
476,drama
477,crime
477,drama
477,romance
477,thriller
477,comedy
478,drama
479,thriller
479,comedy
480,western
481,western
482,drama
483,romance
483,comedy
484,drama
485,thriller
485,drama
486,western
486,action
486,romance
486,drama
487,drama
487,comedy
488,western
488,romance
489,western
489,action
489,music
489,romance
490,western
490,drama
490,action
491,thriller
491,crime
492,drama
492,music
493,western
494,crime
494,comedy
494,drama
494,romance
494,sport
495,drama
496,drama
496,romance
497,thriller
498,comedy
498,crime
498,drama
498,romance
499,thriller
499,drama
499,crime
500,western
500,action
500,drama
501,crime
501,drama
501,romance
502,western
502,music
502,action
503,crime
504,drama
505,comedy
506,western
506,music
507,drama
508,western
508,action
508,romance
509,comedy
509,romance
509,action
510,western
510,music
510,action
511,western
511,action
512,comedy
513,western
514,drama
514,romance
515,drama
515,action
515,romance
516,western
516,comedy
516,action
517,crime
517,drama
518,romance
518,action
518,drama
519,romance
519,war
519,drama
520,comedy
520,music
520,romance
520,drama
521,drama
522,crime
522,drama
523,comedy
523,romance
524,crime
524,romance
524,drama
525,documentation
526,western
526,music
526,action
527,western
527,action
527,music
527,crime
528,drama
529,drama
530,comedy
530,drama
531,drama
531,romance
531,war
532,western
532,action
532,romance
533,romance
533,action
533,music
534,action
534,family
534,drama
534,war
535,drama
535,action
535,war
536,crime
536,drama
537,drama
537,romance
538,drama
538,romance
538,action
538,crime
539,drama
540,romance
540,drama
541,drama
541,romance
541,war
541,action
541,comedy
542,comedy
542,romance
543,western
544,thriller
544,crime
544,drama
545,romance
545,comedy
546,drama
547,drama
547,war
547,history
547,romance
548,thriller
548,romance
548,crime
548,music
549,western
549,romance
549,comedy
550,drama
551,western
551,drama
551,romance
552,western
552,music
553,western
554,documentation
554,war
555,drama
555,romance
556,drama
556,thriller
556,comedy
556,romance
557,western
557,action
557,drama
557,romance
558,comedy
558,drama
558,action
559,drama
559,action
560,drama
561,action
561,family
561,thriller
561,crime
561,drama
562,drama
562,action
562,western
563,thriller
563,comedy
563,drama
563,action
564,romance
564,comedy
564,sport
565,comedy
565,family
566,comedy
567,western
567,action
567,romance
568,western
568,action
569,drama
570,thriller
570,comedy
570,crime
571,comedy
572,crime
572,drama
572,romance
572,action
573,drama
573,war
574,drama
575,drama
575,action
575,crime
576,western
577,western
577,music
577,action
578,crime
578,comedy
578,drama
578,romance
578,sport
578,action
579,western
579,romance
579,comedy
579,action
579,music
580,action
580,war
580,drama
581,western
581,action
583,romance
583,comedy
583,drama
583,thriller
584,western
584,action
584,romance
585,western
585,drama
585,music
585,action
586,crime
586,romance
586,drama
587,comedy
587,family
587,music
588,drama
588,western
588,comedy
588,romance
588,action
589,western
590,drama
590,romance
591,romance
591,action
591,drama
592,music
592,comedy
592,drama
593,crime
593,drama
594,comedy
595,western
595,drama
595,action
596,western
596,romance
597,action
597,comedy
597,music
597,romance
598,action
598,drama
599,thriller
599,action
599,drama
600,comedy
601,western
601,war
602,drama
602,comedy
602,western
603,western
603,romance
603,action
604,comedy
604,music
604,romance
605,western
605,romance
605,action
605,music
606,western
606,music
606,action
606,comedy
607,western
607,romance
607,drama
608,action
608,history
608,romance
608,war
609,western
610,western
610,romance
610,action
611,drama
611,music
611,romance
611,comedy
612,western
613,western
613,action
613,comedy
613,music
614,romance
614,drama
615,comedy
616,western
616,comedy
616,drama
616,action
617,crime
617,drama
618,drama
618,romance
619,comedy
619,music
620,thriller
620,crime
621,western
621,comedy
621,drama
621,action
622,crime
622,romance
622,comedy
623,western
623,drama
623,action
624,western
624,action
624,romance
625,western
625,action
625,drama
625,music
626,comedy
627,action
627,western
628,romance
628,music
629,action
629,romance
629,drama
630,western
630,action
630,drama
631,western
631,action
632,western
632,action
632,crime
632,romance
633,western
634,drama
634,crime
634,thriller
635,drama
636,western
636,comedy
636,music
636,romance
636,action
637,western
637,music
637,romance
637,action
637,comedy
638,western
638,action
638,drama
638,music
639,romance
639,drama
639,documentation
640,drama
642,thriller
643,romance
643,drama
643,music
644,western
645,western
645,drama
645,action
646,drama
646,western
646,music
646,action
647,comedy
647,romance
648,western
649,western
650,western
650,crime
650,romance
650,action
651,drama
651,sport
651,crime
651,romance
652,crime
652,drama
653,documentation
653,war
654,crime
654,thriller
654,drama
655,western
655,action
655,romance
656,war
656,action
656,drama
656,romance
657,romance
657,comedy
657,drama
658,comedy
658,romance
659,romance
659,crime
659,drama
659,thriller
660,western
660,action
660,music
661,drama
661,romance
661,crime
662,crime
662,drama
662,romance
663,drama
663,crime
663,romance
663,sport
663,action
664,western
664,romance
664,action
665,comedy
666,drama
666,crime
666,thriller
667,western
667,comedy
667,romance
667,action
668,comedy
669,drama
669,crime
669,romance
670,comedy
670,drama
670,romance
671,action
671,drama
671,crime
672,romance
672,drama
673,drama
674,thriller
674,action
674,drama
675,drama
676,western
676,romance
676,action
677,drama
677,romance
677,action
678,western
678,action
678,comedy
678,drama
679,western
679,romance
680,drama
680,comedy
680,music
681,action
681,romance
681,western
682,drama
683,western
683,action
684,comedy
684,drama
